TYPE,COMMUNE,STREET_NAME,STREET_END,SPEED_KMH,ALERT_TYPE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Recoleta,Montserrat,,,POLICE
alert,Santiago,Merced,,,POLICE
alert,Santiago,Monjitas,,,POLICE
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,ROAD_CLOSED
alert,Santiago,Santo Domingo,,,CHIT_CHAT
alert,Santiago,Santa Isabel,,,HAZARD
alert,Santiago,Bascuñán Guerrero,,,JAM
alert,Santiago,Unión Latinoamericana,,,JAM
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,ROAD_CLOSED
alert,Santiago,Av. Vicuña Mackenna,,,HAZARD
alert,Recoleta,Santos Dumont,,,CHIT_CHAT
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Independencia,El Molino,,,POLICE
alert,Estación Central,,,,POLICE
alert,Santiago,,,,ROAD_CLOSED
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
alert,Santiago,Av. Libertador Bernardo O'Higgins,,,HAZARD
jam,Maipú,Rafael Riesco Bernales,Av. Primera Transversal,5.48,
jam,Cerrillos,Av. Aeropuerto,Av. Américo Vespucio,15.01,
jam,Cerrillos,Av. Pedro Aguirre Cerda,Ruta G-30 / Camino a Lonquén,24.17,
jam,Maipú,Av. Lo Espejo,Salida Av. Lo Espejo,14.07,
jam,Maipú,Av. Pajaritos,,6.14,
jam,Pedro Aguirre Cerda,Av. Lo Ovalle,Av. Central,19.49,
jam,Maipú,Av. Pajaritos,Cuatro Álamos,10.1,
jam,Maipú,Av. Manuel Rodríguez,Av. La Farfana,3.95,
jam,Maipú,Anunciación,Av. Pajaritos,7.87,
jam,Maipú,Monvoisin,Santa Elena,5.38,
jam,Cerrillos,Av. Américo Vespucio,Acceso a Autopista Vespucio Sur,17.03,
jam,Maipú,Chacabuco,Av. Pajaritos,4.49,
jam,Cerrillos,Corredor Transporte Público Pedro Aguirre Cerda,Av. Pedro Aguirre Cerda,24.32,
jam,Maipú,Salida a Américo Vespucio Sur > Cerrillos,Maipú,6.92,
jam,Maipú,Av. 5 de Abril,Av. Manuel Rodríguez,14.21,
jam,Maipú,Av. Américo Vespucio,Av. El Descanso,14.65,
jam,Lo Espejo,Pasaje 53,Pasaje 24,7.16,
alert,Maipú,Av. Américo Vespucio,,,JAM
alert,Maipú,Monvoisin,,,JAM
alert,Maipú,Av. Américo Vespucio,,,JAM
alert,Maipú,Av. Pajaritos,,,POLICE
alert,Cerrillos,,,,JAM
alert,Maipú,Av. Lo Espejo,,,HAZARD
alert,Maipú,Av. Américo Vespucio,,,POLICE
alert,,,,,POLICE
alert,,Ruta 76 / Camino a Melipilla,,,CHIT_CHAT
alert,,Ruta 76 / Camino a Melipilla,,,POLICE
alert,,Ruta 76 / Camino a Melipilla,,,POLICE
alert,Maipú,Av. Pajaritos,,,POLICE
alert,Maipú,Av. Pajaritos,,,POLICE
alert,Maipú,Santa Elena,,,JAM
alert,Maipú,Av. Pajaritos,,,CHIT_CHAT
alert,Maipú,Av. Lo Espejo,,,ACCIDENT
jam,Renca,Vicuña Mackenna,Av. José Miguel Infante,0,
jam,Cerro Navia,Vicuña Rozas,Araucanía,0,
jam,Cerro Navia,Vicuña Rozas,Mariano Necochea,0,
jam,Cerro Navia,Ramón Ángel Jara,,7.7,
jam,Lo Prado,Av. Los Copihues,Av. Neptuno,17.67,
jam,Cerro Navia,Vicuña Rozas,Pedro Urriola,0,
jam,Cerro Navia,Vicuña Rozas,Av. Neptuno,0,
jam,Cerro Navia,Vicuña Rozas,Las Lomas,0,
jam,Renca,Olimpo,Pasaje Eros,0,
jam,Cerro Navia,Vicuña Rozas,Mariano Necochea,0,
jam,Quinta Normal,Calle 4,Av. Carrascal,4.89,
jam,Renca,Av. José Manuel Balmaceda,Manuel Rodríguez,19.89,
jam,Cerro Navia,Av. Costanera Sur,Av. Carrascal,5.13,
jam,Cerro Navia,Vicuña Rozas,Los Retamos,0,
jam,Cerro Navia,Vicuña Rozas,Conde de Quinta Alegre,0,
jam,Cerro Navia,Vicuña Rozas,Pasaje Aralias,0,
jam,Cerro Navia,Vicuña Rozas,Sofanor Parra,0,
jam,Cerro Navia,Vicuña Rozas,Los Retamos,0,
jam,Cerro Navia,Vicuña Rozas,Conde de Quinta Alegre,0,
jam,Cerro Navia,Vicuña Rozas,Las Lomas,0,
jam,Renca,Esmeralda,Av. José Miguel Infante,4.52,
jam,Lo Prado,Necochea,Portales,11.59,
jam,Quinta Normal,Padre Damián Deveuster,Av. José Joaquín Pérez,3.34,
jam,Cerro Navia,Vicuña Rozas,Pasaje Aralias,0,
jam,Renca,Vicuña Mackenna,Pasaje Argos,0,
jam,Cerro Navia,Vicuña Rozas,Pedro Urriola,0,
jam,Cerro Navia,Vicuña Rozas,Sofanor Parra,0,
jam,Quinta Normal,Sergio Valdovinos,Av. San Pablo,7.26,
alert,,Acceso Autopista Costanera Norte,,,HAZARD
alert,Renca,Pasaje Dionisio,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Av. José Joaquín Pérez,,,HAZARD
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Renca,Vicuña Mackenna,,,ROAD_CLOSED
alert,,Salida 24 > Carrascal,,,JAM
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Presidente Arturo Alessandri,,,POLICE
alert,Renca,Olimpo,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Renca,,,,HAZARD
alert,Cerro Navia,Vicuña Rozas,,,ROAD_CLOSED
alert,Lo Prado,Quebec,,,POLICE
alert,Renca,Vicuña Mackenna,,,ROAD_CLOSED
jam,Conchalí,Av. Independencia,Av. Dorsal,0,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,El Pino,Av. Independencia,0,
jam,Conchalí,Av. Independencia,Aviador Acevedo,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Bartolomé Mandujano,Av. Independencia,0,
jam,Conchalí,Av. Independencia,Negrete,0,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Fermín Vivaceta,Av. Los Zapadores,0,
jam,Conchalí,Av. Independencia,Elcira Espinoza,0,
jam,Recoleta,Dr. Sótero del Río,Huasco,4.74,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,Av. Independencia,Conchalí,6.86,
jam,Conchalí,Av. Independencia,Vuelta del Padre,0,
jam,Conchalí,,Av. Independencia,0,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,Av. Independencia,Teniente Yávar,0,
jam,Renca,Av. José Manuel Balmaceda,Manuel Rodríguez,19.89,
jam,Conchalí,Negrete,Av. Fermín Vivaceta,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,El Pino,Av. Independencia,0,
jam,Conchalí,El Olivo,Av. Independencia,4.65,
jam,Conchalí,Av. Independencia,Teniente Ponce,0,
jam,Conchalí,Quilicura,Av. Independencia,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Fermín Vivaceta,Campanario,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Av. Independencia,Conchalí,0,
jam,Conchalí,Av. Independencia,,0,
jam,Huechuraba,Av. Américo Vespucio,Av. Américo Vespucio,12.2,
jam,Conchalí,Av. Independencia,Bartolomé Mandujano,0,
jam,Conchalí,Av. Independencia,Aviador Zañartu,0,
jam,Conchalí,Av. Independencia,Corbeta Esmeralda,0,
jam,Conchalí,,Av. Independencia,0,
jam,Conchalí,Av. Independencia,Teniente Mery,0,
jam,Conchalí,Av. Independencia,,0,
jam,Conchalí,Bartolomé Mandujano,Av. Independencia,0,
jam,Conchalí,Av. Independencia,El Olivo,0,
jam,Conchalí,Av. Independencia,Teniente Bello,0,
jam,Conchalí,Av. Independencia,,0,
alert,Conchalí,Quilicura,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,Av. Pedro Fontova Norte,,,JAM
alert,Renca,Av. Apóstol Santiago,,,HAZARD
alert,,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Negrete,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Los Zapadores,,,HAZARD
alert,,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Fermín Vivaceta,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Huechuraba,Av. Américo Vespucio,,,HAZARD
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Bartolomé Mandujano,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Diagonal José María Caro,,,HAZARD
alert,Conchalí,,,,ROAD_CLOSED
alert,Conchalí,El Pino,,,ROAD_CLOSED
alert,Conchalí,El Pino,,,ROAD_CLOSED
alert,Conchalí,Av. Independencia,,,ROAD_CLOSED
alert,Conchalí,Av. Diego Silva Henríquez,,,HAZARD
alert,Conchalí,Bartolomé Mandujano,,,ROAD_CLOSED
